Year,Bowl Game Name,Team 1,Team 1 Conference,Team 1 AP Ranking,Team 1 Wins,Team 1 247 Talent Composite Score,Team 1 Total FB Social Followers,Team 1 Enrollment,Team 1 Total Alumni,Team 1 Alumni Dispersion,Team 1 Brand Power,Team 1 Lat,Team 1 Lon,Team 1 Time Zone,Team 2,Team 2 Conference,Team 2 AP Ranking,Team 2 Wins,Team 2 247 Talent Composite Score,Team 2 Total FB Social Followers,Team 2 Enrollment,Team 2 Total Alumni,Team 2 Alumni Dispersion,Team 2 Brand Power,Team 2 Lat,Team 2 Lon,Team 2 Time Zone,Venue,City,State,Venue Tier,Venue Capacity,Venue Lat,Venue Lon,Venue Time Zone,Team 1 Miles to Venue,Team 2 Miles to Venue,Date,Day of the Week,Local Start Time,Network,Viewers,Attendance,Bowl Avg Viewers,Bowl Avg Attendees,% Filled,Avg Wins,Total Wins,Avg AP Ranking,Best AP Ranking,Worst AP Ranking,SEC Present,Big 10 Present,Big 12 Present,ACC Present,Combined Fanbase Size (social + enrollment + alum),Avg Distace Traveled,Distance Minimum,Distance Imbalance,"Weekend Indicator (Weekend=1, Else 0)","Matchup Power Score (2=P4vP4, 1=P4vG5, 0=G5vG5)",Bowl Tier,Bowl Ownership,Local Team Indicator,AP Strength Score,Combined Fanbase (Log transformed),MinMax Scale Distcance,AP Strength Normalized,Predicted Attendence,Predicted % Filled,Actual Attendance,Bowl Avg Attendance,% Error
2024,68 Ventures Bowl,Arkansas State Red Wolves,Sun Belt Conference,0,8,573.27,121300,14032,64259,Regional,45851.608,35.84,-90.68,CST,Bowling Green Falcons,Mid-American Conference,0,7,484.51,118000,17027,133406,Mostly In-State,52339.804,41.38,-83.64,EST,Hancock Whitney Stadium,Mobile,AL,1,25450,30.70,-88.18,CST,384,780,12/26/2024,Thursday,9:00 PM,ESPN,1680000,19582,1221667,20340,0.77,7.5,15,0,0,0,0,0,0,0,468024,581.8764352,384,396.16,0,0,3,1,0,26,5.670269052,0.1315878584,1,"19,283.26",75.77%,19582,20340,-1.53%
2023,68 Ventures Bowl,South Alabama Jaguars,Sun Belt Conference,0,7,545.68,102300,13768,63975,Regional,40059.372,30.70,-88.18,CST,Eastern Michigan Eagles,Mid-American Conference,0,6,377.07,112500,13324,129009,Mostly In-State,49466.528,42.25,-83.63,EST,Hancock Whitney Stadium,Mobile,AL,1,25450,30.70,-88.18,CST,0,837,12/23/2023,Saturday,7:00 PM,ESPN,765000,20926,1221667,20340,0.82,6.5,13,0,0,0,0,0,0,0,434876,418.6030728,0,837.21,1,0,3,1,1,26,5.638366439,0.08464626636,1,"20,364.77",80.02%,20926,20340,-2.68%
2022,68 Ventures Bowl,Southern Miss Golden Eagles,Sun Belt Conference,0,7,478.97,133200,13110,83364,Regional,51109.988,31.33,-89.33,CST,Rice Owls,American Conference,0,5,441.93,108200,8556,67890,Regional,41136.972,29.72,-95.40,CST,Hancock Whitney Stadium,Mobile,AL,1,25450,30.70,-88.18,CST,81,437,12/17/2022,Saturday,5:45 PM,ESPN,1220000,20512,1221667,20340,0.81,6,12,0,0,0,0,0,0,0,414320,258.7485638,81,355.55,1,0,3,1,1,26,5.617336946,0.03868760514,1,"20,881.95",82.05%,20512,20340,1.80%
2024,Alamo Bowl,BYU Cougars,Big 12 Conference,17,11,602.46,379700,35074,236737,Regional,144839.484,40.25,-111.65,MST,Colorado Buffaloes,Big 12 Conference,20,9,749.16,1503800,41432,233775,Regional,483103.564,40.01,-105.27,MST,Alamodome,San Antonio ,TX,1,64000,31.77,-106.50,CST,652,573,12/28/2024,Saturday,7:30 PM,ABC,8000000,64261,5570000,60958,1.00,10,20,18.5,17,20,0,0,1,0,2430518,612.933832,573,79.02,1,2,1,1,0,7.5,6.38569902,0.1405169552,0.1777777778,"57,037.79",89.12%,64261,60958,-11.24%
2022,Alamo Bowl,Washington Huskies,Big Ten Conference,12,11,761.72,471300,55620,389616,Regional,191780.288,47.66,-122.31,PST,Texas Longhorns,Southeastern Conference,21,8,887.45,1596800,53082,472290,Regional,537240.38,30.28,-97.74,CST,Alamodome,San Antonio ,TX,1,64000,31.77,-106.50,CST,1376,529,12/29/2022,Thursday,9:00 PM,ESPN,4780000,62730,5570000,60958,0.98,9.5,19,16.5,12,21,1,0,0,0,3038708,952.6689334,529,847.43,0,2,1,1,0,9.5,6.482689112,0.2381918379,0.2666666667,"62,473.21",97.61%,62730,60958,-0.41%
2023,Alamo Bowl,Arizona Wildcats,Big 12 Conference,14,10,687.01,292600,53001,253727,Regional,124027.704,32.23,-110.95,MST,Oklahoma Sooners,Southeastern Conference,12,10,884.97,1379800,29145,173771,Regional,437500.088,35.21,-97.44,CST,Alamodome,San Antonio ,TX,1,64000,31.77,-106.50,CST,262,573,12/28/2023,Thursday,9:15 PM,ESPN,3930000,55883,5570000,60958,0.87,10,20,13,12,14,1,0,0,0,2182044,417.905489,262,310.82,0,2,1,1,0,13,6.338863703,0.08444570887,0.4222222222,"62,530.58",97.70%,55883,60958,11.90%
2024,Arizona Bowl,Miami (OH) RedHawks,Mid-American Conference,0,9,505.3,142200,18618,174340,Regional,64019.72,39.51,-84.73,EST,Colorado State Rams,Mountain West Conference,0,8,546.04,150300,33500,223830,Mostly In-State,74391.416,40.57,-105.08,MST,Arizona Stadium,Tucson,AZ,1,50782,32.23,-110.95,MST,1545,662,12/28/2024,Saturday,4:30 PM,CW,567000,40076,754333,32732,0.79,8.5,17,0,0,0,0,0,0,0,742788,1103.560417,662,883.03,1,0,3,1,0,26,5.870865464,0.2815736018,1,"23,078.16",45.45%,40076,32732,-42.41%
2023,Arizona Bowl,Wyoming Cowboys,Mountain West Conference,0,9,338.5,169500,10913,56038,National,58771.8,41.31,-105.58,MST,Toledo Rockets,Mid-American Conference,0,11,497.64,145900,14939,110174,Regional,57974.256,41.66,-83.61,EST,Arizona Stadium,Tucson,AZ,1,50782,32.23,-110.95,MST,694,1635,12/30/2023,Saturday,4:30 PM,CW,1100000,30428,754333,32732,0.60,10,20,0,0,0,0,0,0,0,507464,1164.462927,694,941.22,1,0,3,1,0,26,5.705406094,0.29908326,1,"22,840.31",44.98%,30428,32732,-24.94%
2022,Arizona Bowl,Ohio Bobcats,Mid-American Conference,0,10,365.74,123200,24937,189185,Regional,61012.196,39.33,-82.10,EST,Wyoming Cowboys,Mountain West Conference,0,7,292.03,169500,10913,56038,National,58753.212,41.31,-105.58,MST,Arizona Stadium,Tucson,AZ,1,50782,32.23,-110.95,MST,1682,694,12/30/2022,Friday,4:30 PM,Barstool Sports,596000,27691,754333,32732,0.55,8.5,17,0,0,0,0,0,0,0,573773,1187.758102,694,987.81,0,0,3,1,0,26,5.758740865,0.3057806944,1,"21,562.88",42.46%,27691,32732,-22.13%
2022,Armed Forces Bowl,Air Force Falcons,Mountain West Conference,0,10,0,128000,4124,37126,Very National (Top 10%),42937.4,39.01,-104.89,MST,Baylor Bears,Big 12 Conference,0,6,666.05,371400,20824,119218,Mostly In-State,127773.02,31.55,-97.12,CST,Amon G. Carter Stadium,Fort Worth,TX,1,47000,32.71,-97.36,CST,606,82,12/22/2022,Thursday,7:30 PM,ESPN,1990000,43875,2426667,41819,0.93,8,16,0,0,0,0,0,1,0,680692,343.5719474,82,523.95,0,1,2,2,1,26,5.832951285,0.06307458788,1,"37,362.40",79.49%,43875,41819,-14.84%
