Year,Bowl Game Name,Team 1,Team 1 Conference,Team 1 AP Ranking,Team 1 Wins,Team 1 247 Talent Composite Score,Team 1 Total FB Social Followers,Team 1 Enrollment,Team 1 Total Alumni,Team 1 Alumni Dispersion,Team 1 Brand Power,Team 1 Lat,Team 1 Lon,Team 1 Time Zone,Team 2,Team 2 Conference,Team 2 AP Ranking,Team 2 Wins,Team 2 247 Talent Composite Score,Team 2 Total FB Social Followers,Team 2 Enrollment,Team 2 Total Alumni,Team 2 Alumni Dispersion,Team 2 Brand Power,Team 2 Lat,Team 2 Lon,Team 2 Time Zone,Venue,City,State,Venue Tier,Venue Capacity,Venue Lat,Venue Lon,Venue Time Zone,Team 1 Miles to Venue,Team 2 Miles to Venue,Date,Day of the Week,Local Start Time,Network,Viewers,Attendance,Bowl Avg Viewers,Bowl Avg Attendees,% Filled,Avg Wins,Total Wins,Avg AP Ranking,Best AP Ranking,Worst AP Ranking,SEC Present,Big 10 Present,Big 12 Present,ACC Present,"Combined Fanbase Size 
(social + enrollment + alum)",Avg Distace Traveled,Distance Minimum,Distance Imbalance,"Weekend Indicator (Weekend=1, Else 0)","Matchup Power Score (2=P4vP4, 1=P4vG5, 0=G5vG5)",Bowl Tier,Bowl Ownership,Local Team Indicator,AP Strength Score,Combined Fanbase (Log transformed),MinMax Scale Distcance,AP Strength Normalized,Raw Gradient Boosted Attendance,Gradient Boosted Predicted Attendance,Final Attendance Prediction,Bowl Avg Attendance,Gradient Boosted Predicted % Filled,Bowl Avg % Filled ,Attendance Difference from Avg,% Attendance Difference from Avg,Actual Attendance,Actual % Filled,% Error,Bowl Type,Notes
2025,LA Bowl,Boise State Broncos,Mountain West Conference,0,9,610.65,322200,26670,111237,Regional,113361.96,43.604284,-116.203301,MST,Washington Huskies,Big Ten Conference,0,8,720.56,471300,55620,389616,Regional,191763.824,47.65538,-122.30514,PST,SoFi Stadium,Inglewood,CA,1,70240,33.953587,-118.33963,PST,676.6278222,968.8658303,12/13/2025,Saturday,0.8333333333,ABC,,,2086667,29868,,8.5,17,0,0,0,0,1,0,0,1376643,822.7468263,676.6278222,292.2380082,1,1,2,2,0,26,6.138821646,0.6637579645,1,26180.65245,27286.85671,27286.85671,29868,0.3884803062,0.4252277904,-2581.14329,-0.08641835041,,,,Large,
2025,Camellia Bowl,Troy Trojans,Sun Belt Conference,0,8,561.87,120100,13923,89401,National,47979.448,31.799583,-85.95802,CST,Jacksonville State Gamecocks,Conference USA,0,8,519.93,60500,9672,39841,Regional,24276.472,33.822938,-85.765321,CST,Cramton Bowl,Montgomery,AL,1,21000,32.3774,-86.2977,CST,44.60365681,104.5283756,12/16/2025,Tuesday,0.875,ESPN,,,1560000,13316,,8,16,0,0,0,0,0,0,0,333437,74.5660162,44.60365681,59.92471877,0,0,3,2,1,26,5.523015092,0,1,20548.57287,18378.80101,18378.80101,13316,0.8751810005,0.6340952381,5062.80101,0.3802043414,,,,Small,"Both regional schools, easy travel, strong local presence"
2025,68 Ventures Bowl,Louisiana Ragin' Cajuns,Sun Belt Conference,0,6,585.82,111900,15345,80684,Mostly In-State,44941.728,30.212191,-92.020165,CST,Delaware Blue Hens,Conference USA,0,6,,96400,24221,151949,Regional,48959.1,39.679577,-75.752822,EST,Hancock Whitney Stadium,Mobile,AL,1,25450,30.696033,-88.178711,CST,231.231774,935.1732982,12/17/2025,Wednesday,0.8541666667,ESPN,,,1221667,20340,,6,12,0,0,0,0,0,0,0,480499,583.2025361,231.231774,703.9415242,0,0,3,1,0,26,5.681693392,0.451243251,1,20619.42775,20535.59942,20535.59942,20340,0.8068997807,0.7992141454,195.59942,0.009616490659,,,,Medium,
2025,Cure Bowl,Old Dominion Monarchs,Sun Belt Conference,0,9,477.45,119700,22541,133332,Mostly In-State,53942.38,36.886418,-76.30666,EST,South Florida Bulls,American Conference,0,9,666.89,261300,48572,266499,Mostly In-State,115021.056,28.061458,-82.413232,EST,Camping World Stadium,Orlando,FL,3,60219,28.539143,-81.403076,EST,648.1492591,69.75887454,12/17/2025,Wednesday,0.7083333333,ESPN,,,1456000,11183,,9,18,0,0,0,0,0,0,0,851944,358.9540668,69.75887454,578.3903846,0,0,3,2,1,26,5.930411558,0.2522984165,1,12572.07412,12155.35189,12155.35189,11183,0.2018524368,0.1857055082,972.35189,0.08694910936,,,,Large,"USF is hometown team, should outperform avg"
2025,Xbox Bowl,Arkansas State Red Wolves,Sun Belt Conference,0,6,591.27,121300,14032,64259,Regional,45858.808,35.842388,-90.679988,CST,Missouri State Bears,Conference USA,0,7,426.1,58700,23418,116520,Mostly In-State,34116.04,37.199258,-93.281281,CST,Ford Center at The Star,Frisco,TX,1,12000,33.1135,-96.829,CST,397.6622116,346.156711,12/18/2025,Thursday,0.875,ESPN2,,,,,,6.5,13,0,0,0,0,0,0,0,398229,371.9094613,346.156711,51.5055006,0,0,3,2,0,26,5.600133974,0.2637919568,1,24096.58999,6500,6500,9000,0.5416666667,0.75,-2500,-0.2777777778,,,,Small,
2025,Gasparilla Bowl,Memphis Tigers,American Conference,0,8,668.63,202000,21736,114618,Mostly In-State,76676.452,35.118878,-89.938068,CST,NC State Wolfpack,Atlantic Coast Conference,0,7,707.51,369900,37323,231036,Mostly In-State,141821.204,35.785111,-78.674517,EST,Raymond James Stadium,Tampa,FL,3,65857,28.061458,-82.413232,EST,658.2982518,576.831828,12/19/2025,Friday,0.6041666667,ESPN,,,2556667,35374,,7.5,15,0,0,0,0,0,0,1,976613,617.5650399,576.831828,81.46642378,0,1,2,2,0,26,5.989722946,0.4817283761,1,32702.71697,33504.10188,33504.10188,35374,0.5087401777,0.5371334862,-1869.89812,-0.05286080511,,,,Large,
2025,Myrtle Beach Bowl,Kennesaw State Owls,Conference USA,0,10,338.87,88400,45069,143958,Highly Local,50065.148,34.038807,-84.583052,EST,Western Michigan Broncos,Mid-American Conference,0,9,534.35,141800,16693,147870,Mostly In-State,60879.34,42.282194,-85.613759,EST,Brooks Stadium,Conway,SC,1,21000,33.794995,-79.011767,EST,319.8643023,687.2263319,12/19/2025,Friday,0.4583333333,ESPN,,,962667,9415,,9.5,19,0,0,0,0,0,0,0,583790,503.5453171,319.8643023,367.3620297,0,0,3,2,0,26,5.766257395,0.3805743528,1,9096.935237,9192.354666,9192.354666,9415,0.4377311746,0.4483333333,-222.645334,-0.02364793776,,,,Small,
2025,Famous Idaho Potato Bowl,Washington State Cougars,Pac-12 Conference,0,6,569.46,237200,26490,161917,Mostly In-State,92877.484,46.730448,-117.158168,PST,Utah State Aggies,Mountain West Conference,0,6,503.59,118400,28063,114531,Mostly In-State,52787.136,41.740748,-111.81391,MST,Albertsons Stadium,Boise,ID,1,36387,43.604284,-116.203301,MST,220.9574441,257.4507903,12/22/2025,Monday,0.5833333333,ESPN,,,1193333,10883,,6,12,0,0,0,0,0,0,0,686601,239.2041172,220.9574441,36.49334628,0,0,3,2,0,26,5.836705064,0.1460607507,1,14409.30923,13351.41646,13351.41646,10883,0.3669282013,0.2990903345,2468.41646,0.2268139723,,,,Medium,
2025,Boca Raton Bowl,Louisville Cardinals,Atlantic Coast Conference,0,8,700.77,402100,22139,119709,Regional,137309.008,38.216862,-85.760412,EST,Toledo Rockets,Mid-American Conference,0,8,620.13,145900,14939,110174,Regional,58023.252,41.660572,-83.614714,EST,Flagler Credit Union Stadium,Boca Raton,FL,1,30000,29.9012,-81.3158,EST,628.1806924,822.6085269,12/23/2025,Tuesday,0.5833333333,ESPN,,,1260000,20667,,8,16,0,0,0,0,0,0,0,814961,725.3946096,628.1806924,194.4278345,0,1,3,2,0,26,5.911137359,0.5773907277,1,17786.75644,18650.82951,18650.82951,20667,0.621694317,0.6889,-2016.17049,-0.09755506314,,,,Medium,
2025,Frisco Bowl,UNLV Rebels,Mountain West Conference,0,10,700.54,167200,21778,145643,Mostly In-State,69360.116,36.106047,-115.138462,PST,Ohio Bobcats,Mid-American Conference,0,8,469.99,123200,24937,189185,Regional,61053.896,39.326798,-82.100985,EST,Ford Center at The Star,Frisco,TX,1,12000,33.1135,-96.829,CST,1059.898963,924.8497487,12/23/2025,Tuesday,0.875,ESPN,,,1072667,11816,,9,18,0,0,0,0,0,0,0,671943,992.3743558,924.8497487,135.0492142,0,0,3,2,0,26,5.82733308,0.8142451491,1,10052.59032,10581.61322,10581.61322,11816,0.8818011017,0.9846666667,-1234.38678,-0.1044673984,,,,Small,
