Football Stadium,Football Capacity,Lat,Lon,Time Zone,City,State
Alamodome,64000,31.77015,-106.504098,CST,San Antonio ,TX
Albertsons Stadium,36387,43.604284,-116.203301,MST,Boise,ID
Allegiant Stadium,65000,36.106047,-115.138462,PST,Las Vegas,NV
Amon G. Carter Stadium,47000,32.70961,-97.364758,CST,Fort Worth,TX
Arizona Stadium,50782,32.232672,-110.950815,MST,Tucson,AZ
Bank of America Stadium,75523,35.225845,-80.853607,EST,Charlotte,NC
Brooks Stadium,21000,33.794995,-79.011767,EST,Conway,SC
Caesars Superdome,41426,29.951439,-90.08197,CST,New Orleans,LA
Camping World Stadium,60219,28.539143,-81.403076,EST,Orlando,FL
Chase Field,49033,33.445564,-112.067413,MST,Phoenix,AZ
Clarence T.C. Ching Athletics Complex,15194,21.3003,-157.815,HST,Honolulu,HI
Cramton Bowl,21000,32.3774,-86.2977,CST,Montgomery,AL
EverBank Stadium,67814,30.323471,-81.636528,EST,Jacksonville,FL
Fenway Park,37755,42.346268,-71.095764,EST,Boston,MA
Flagler Credit Union Stadium,30000,29.9012,-81.3158,EST,Boca Raton,FL
Ford Center at The Star,12000,33.1135,-96.829,CST,Frisco,TX
Ford Field,65000,42.340115,-83.046341,EST,Detroit,MI
Gerald J. Ford Stadium,32000,32.843612,-96.783365,CST,Dallas,TX
Hancock Whitney Stadium,25450,30.696033,-88.178711,CST,Mobile,AL
Independence Stadium,50000,32.5135,-93.7436,CST,Shreveport,LA
Navy-Marine Corps Memorial Stadium,34000,38.980507,-76.481692,EST,Annapolis,MD
Nissan Stadium,68798,36.166321,-86.828275,CST,Nashville,TN
NRG Stadium,71795,29.68486,-95.411667,CST,Houston,TX
Protective Stadium,47100,33.505697,-86.799345,CST,Birmingham ,AL
Raymond James Stadium,65857,28.061458,-82.413232,EST,Tampa,FL
Simmons Bank Liberty Stadium,50000,35.118878,-89.938068,CST,Memphis,TN
Snapdragon Stadium,35000,32.77525,-117.071228,PST,San Diego,CA
SoFi Stadium,70240,33.953587,-118.33963,PST,Inglewood,CA
Sun Bowl,52000,31.863889,-106.337778,MST,El Paso,TX
Sun Bowl Stadium,51500,29.583709,-98.620657,CST,El Paso,TX
Thomas A. Robinson National Stadium,15000,25.0533,-77.3552,EST,Nassau,Bahamas
Toyota Stadium,22500,33.1527,-96.8345,CST,Frisco ,TX
University Stadium,39224,35.083868,-106.620155,MST,Albuquerque,NM
Yankee Stadium,50291,40.829659,-73.926186,EST,Bronx,NY
